item,name,group,party,district,constituency,gender,dob,dobPrecision,psid
Q100550379,Jure Ferjan,,,,,male,1993-01-04,11,Q100550379-4C9A74F3-6708-4910-B659-A55CF37D9717
Q101002571,Tadeja Šuštar Zalar,,,,,female,1990-09-14,11,Q101002571-D1CF1B11-0E02-428B-8978-AD12DD116F34
Q104420145,Gregor Perič,,,,,male,1984-03-12,11,Q104420145-354701D8-5CB2-4BF4-913E-5B83E686AE53
Q104522252,Dušan Šiško,,,,,male,1969-05-09,11,Q104522252-4D10E3E0-94A7-419B-A85C-8D1DA4104A71
Q104529196,Jani Ivanuša,,,,,male,1968-02-22,11,Q104529196-F86E5EBB-C0F6-408D-9859-F3F4A7FD8BE6
Q105111559,Brane Golubović,,,,,male,1969-08-10,11,Q105111559-4236531E-D9E9-49DA-AD68-E2073CBFF4B9
Q105961549,Željko Cigler,,,,,male,1958-10-27,11,Q105961549-902A8DFE-06DA-4E65-BBEB-EA9DBBC8A76E
Q106299546,Ferenc Horváth,,,,,male,1972-04-13,11,Q106299546-3203895F-6B4D-432A-BABA-4299ED0E29AA
Q109173444,Felice Žiža,,,,,,,,Q109173444-334C3338-F541-4185-B955-EE0CA79BAB9F
Q109173447,Jurij Lep,,,,,,,,Q109173447-D16FC8B9-6D9B-4E03-A0F9-A948A7EC6439
Q109173451,Branko Simonovič,,,,,,,,Q109173451-DDB7FDAB-6A20-47EA-8F08-B671015CCDE3
Q109173454,Andrej Rajh,,,,,,,,Q109173454-047E7BEA-7B43-462F-8742-089CE5A93C69
Q109173462,Boris Doblekar,,,,,,,,Q109173462-9D29A4CA-0B9A-46F8-8D3A-F6BCB126E824
Q109173463,Franci Kepa,,,,,,,,Q109173463-90B0A5BB-42FA-4C78-8AD4-B0B72D1A80B2
Q109173464,Karmen Furman,,,,,,,,Q109173464-4DEC17F2-B3F5-451C-AA44-F57E852045BB
Q109173465,Jožef Lenart,,,,,,,,Q109173465-972E660A-5B77-40BC-8481-65016B81E8EC
Q109173467,Igor Peček,,,,,,,,Q109173467-D4F95915-2EFC-4E7B-BD8D-3C4DBDDF426F
Q109173511,Edvard Paulič,,,,,,,,Q109173511-10012BF5-7428-4B02-ACE2-A5F474EB968A
Q109173512,Robert Pavšič,,,,,,,,Q109173512-C44F89DB-703E-4DE4-80A4-686DDE19F900
Q109173513,Jerca Korče,,,,,,,,Q109173513-B4B20FA1-153A-490E-B736-0AC0D57B919A
Q109173515,Jože Lenart,,,,,,,,Q109173515-B3506994-88DD-452E-BB5F-EC84109F9919
Q109173516,Lidija Divjak Mirnik,,,,,,,,Q109173516-DFF2310E-888E-44E5-AC7B-F93CF58D1B9C
Q109173517,Aljaž Kovačič,,,,,,,,Q109173517-2961A07C-4831-426E-BAF6-69230B264D97
Q109173518,Marko Koprivc,,,,,,,,Q109173518-334692C5-FD48-4459-BD32-3CB398B421E2
Q109173519,Predrag Baković,,,,,,,,Q109173519-E87BAA7D-A104-42BA-ABE5-2020A6F2AFF9
Q109173520,Jani Prednik,,,,,,,,Q109173520-F4243FB4-F875-4367-A9F6-8FC17DB97FD6
Q109173521,Soniboj Knežak,,,,,,,,Q109173521-11BA8CEF-B43A-41ED-902F-F39CB86332DB
Q109173522,Mateja Udovč,,,,,female,1974-09-30,11,Q109173522-6F63D84A-09BF-48DD-994F-EDBA9BD36C47
Q109173523,Mojca Žnidarič,,,,,,,,Q109173523-A3634A66-CC8C-454C-ABA6-ADA391385FB6
Q109173524,Blaž Pavlin,,,,,,,,Q109173524-4C5B2BEE-7464-4B01-B7C3-A50048A41201
Q109173525,Vojko Starović,,,,,,,,Q109173525-CC6D7359-B52B-4C46-81DE-09B3CE81A37B
Q109180161,Nik Prebil,,,,,,,,Q109180161-7A557DA8-93A9-439A-B921-A86CED84E842
Q109180207,Janez Moškrič,,,,,,,,Q109180207-5CA69EFB-817E-45BC-AF86-56A5A9DF4EA2
Q109180234,Elena Zavadlav Ušaj,,,,,,,,Q109180234-CE5FC744-462F-4306-B6E4-ADAAF11B99AD
Q109180243,Andrej Černigoj,,,,,,,,Q109180243-964E99E0-4E96-4B93-B1FC-1DD4FF7211C7
Q109180277,Leon Merjasec,,,,,,,,Q109180277-A2116F11-DE51-4C8E-97AF-71891E836943
Q109180357,Mojca Škrinjar,,,,,,,,Q109180357-B0B9E559-4AAF-4FAF-A478-572208CE1F84
Q109526036,Karmen Kozmus Ferjan,,,,,female,1985-01-01,9,Q109526036-af0e59ae-43d2-a598-5a52-bd037176db53
Q12784241,Alenka Jeraj,,,,,female,1973-02-23,11,Q12784241-CEA79DF9-C61B-4639-AA9D-A871A89CB2E4
Q12787285,Danijel Krivec,,,,,male,1965-05-16,11,Q12787285-C7C6E5DC-A9B1-4C60-9214-D08AB6D078D2
Q12787433,Dejan Židan,,,,,male,1967-10-16,11,Q12787433-59F46045-71D7-41C5-BA7F-A9A7A19CA2FC
Q12789041,Franc Breznik,,,,,male,1970-07-23,11,Q12789041-F293EA39-67EB-4194-8D05-EB17D60E8DA3
Q12789102,Franc Jurša,,,,,male,1953-09-21,11,Q12789102-42F1556E-F8E2-408F-BD84-FBA6A0549C5A
Q12791559,Ivan Hršak,,,,,male,1957-12-25,11,Q12791559-702AE72A-4704-4DD1-954D-12B925BC7E84
Q12795878,Marjan Šarec,,,,,male,1977-12-02,11,Q12795878-E5C48852-35BE-408C-AAF4-BD6CC15A4FC6
Q12796244,Maša Kociper,,,,,female,1972-07-17,11,Q12796244-80DD282B-E9D8-4F32-A43D-C5275923AE34
Q12800700,Samo Bevk,,,,,male,1956-08-27,11,Q12800700-99881D83-A22C-43A8-AC74-9EFCCB84D872
Q12804238,Tomaž Lisec,,,,,male,1978-02-19,11,Q12804238-E2FA8AE9-2AA0-4D23-8709-DB3C1A25D5C8
Q12805811,Violeta Tomić,,,,,female,1963-01-22,11,Q12805811-5C38C6BF-0852-4425-ABD5-3F2BFAA52AC9
Q18508947,Iva Dimic,,,,,female,1972-10-28,11,Q18508947-99D16006-A7BF-4CFC-A7DD-F4D5417CA06C
Q18524166,Branko Grims,,,,,male,1962-08-26,11,Q18524166-381D76DF-0A87-4BB5-BE11-ED650CB9162A
Q18529471,Franc Trček,,,,,male,1969-01-03,11,Q18529471-A6E755D6-0F08-480A-BF31-E8356F892EE1
Q18587289,Jani (Janko) Möderndorfer,,,,,male,1965-10-03,11,Q18587289-23A02B59-FAAF-4349-8561-3B376A1716CD
Q18604336,Jože Tanko,,,,,male,1956-04-16,11,Q18604336-33C72AD0-841E-4777-95C9-C8C74CC6C601
Q18604372,Jožef Horvat,,,,,male,1955-07-08,11,Q18604372-96B7DEA6-F0C0-46E6-87C9-527C9E51F2DC
Q18627634,Luka Mesec,,,,,male,1987-07-01,11,Q18627634-0D4EFDC3-59A3-4C3A-B95F-CCC26B78E100
Q18627666,Marijan Pojbič,,,,,male,1961-02-06,11,Q18627666-6B209CA1-D3E3-4953-8A3C-837D7EEFF42E
Q18644528,Marko Pogačnik,,,,,male,1972-01-30,11,Q18644528-5371EAB6-BDAA-4905-AE19-F295B457389A
Q18644615,Matjaž Han,,,,,male,1971-01-17,11,Q18644615-A06ADB22-0667-4A46-B617-3916E4BE969D
Q18644665,Mihael Prevc,,,,,male,1957-09-30,11,Q18644665-366D2299-F5A6-4570-8F33-3E94272A8A26
Q217903,Zmago Jelinčič Plemeniti,,,,,male,1948-01-07,11,Q217903-7328DEAA-38C4-4DE8-B0AA-041EFC21EE3B
Q23001530,Miha Kordiš,,,,,male,1989-03-06,11,Q23001530-DC6352E4-48E3-442E-8585-9CD9FF3D12BF
Q24662016,Matej Tašner Vatovec,,,,,male,1983-02-06,11,Q24662016-141DC6A5-E93C-47B1-9016-8888FD912EA5
Q27929326,Matjaž Nemec,,,,,male,1980-04-10,11,Q27929326-2CDCFE57-8358-49C4-8949-B38FFEBF46BE
Q29048797,Anja Bah Žibert,,,,,female,1973-06-27,11,Q29048797-71451A39-6DE2-411F-86D5-F0AE6508A7A3
Q3061255,Eva Irgl,,,,,female,1976-12-09,11,Q3061255-6998d9d5-462b-cd84-6816-432ae4af6ca0
Q32945377,Bojan Podkrajšek,,,,,male,1968-01-08,11,Q32945377-F39DF4D6-72AC-438C-9A11-BCF3AA0983C2
Q3739767,Alenka Bratušek,,,,,female,1970-03-31,11,Q3739767-274560FC-E779-49A4-844A-626883DBE1EF
Q3776473,Gregor Židan,,,,,male,1965-10-05,11,Q3776473-193902F9-FCD2-42C2-93EA-A5491F34AA5F
Q43389527,Nada Brinovšek,,,,,female,1961-04-24,11,Q43389527-8F9FD1F6-7278-4F07-A24F-D1F9C7556B49
Q43389533,Suzana Lep Šimenko,,,,,female,1979-10-30,11,Q43389533-698854C3-3F2F-4E6B-98E4-47D145681C6B
Q43389540,Igor Zorčič,,,,,male,1978-01-09,11,Q43389540-CE470EE2-A32E-4E78-A387-DED1EABEFBF3
Q43389566,Dušan Verbič,,,,,male,1952-09-13,11,Q43389566-E64C3223-2A0E-4D8B-88B4-ECD621F92332
Q43389601,Janja Sluga,,,,,female,1974-05-15,11,Q43389601-8D7D690E-FE51-41FE-9017-1B26E47C6DD1
Q43389610,Bojana Muršič,,,,,female,1971-09-20,11,Q43389610-9CA02D38-CB53-4ED0-ACCC-E81389695787
Q43389752,Branislav Rajić,,,,,male,1962-05-09,11,Q43389752-B6316845-A99A-4E9C-B041-2CE95A640C0F
Q54557559,Nataša Sukič,,,,,female,1962-06-01,11,Q54557559-71D337F1-0EA8-4A53-B449-4A15C0C25524
Q54944131,Tina Heferle,,,,,female,1986-05-28,11,Q54944131-92487B2E-6F85-40AC-94FF-4DC4F3E30707
Q56162105,Robert Polnar,,,,,male,1960-12-01,11,Q56162105-BEC58889-85FA-43B7-B0AE-EED48656A1C6
Q56681695,Lidija Ivanuša,,,,,female,1979-01-03,11,Q56681695-1488bfe3-4929-89c8-05e8-597d95a3c467
Q61358335,Dejan Kaloh,,,,,male,1975-02-01,11,Q61358335-DF34DBAE-D531-45BE-8C21-12A58FB669CB
Q64517964,Primož Siter,,,,,male,1979-08-18,11,Q64517964-6FA1B9AA-2F8A-4C46-B1D0-4BD5422BEEBB
Q65499856,Andreja Zabret,,,,,female,,,Q65499856-DF1D4CFF-4102-4F4C-BD5A-CC28B35CDBDB
Q65924381,Franc Rosec,,,,,male,1967-10-28,11,Q65924381-07970BAA-DE16-46C2-BCA4-150C110F6FB8
Q66686387,Marko Bandelli,,,,,male,1967-11-19,11,Q66686387-23FDE3ED-9230-4FC8-A1FB-78F0FD580B30
Q67503617,Aleksander Reberšek,,,,,male,1980-10-09,11,Q67503617-06EFAE30-3A59-4B48-93D1-BB885262ABEB
Q76191616,Rudi Medved,,,,,male,1959-12-28,11,Q76191616-BF9E7AC0-3547-4C98-9E0E-9A0DCFA6FCAA
Q77844996,Boštjan Koražija,,,,,male,1974-12-18,11,Q77844996-D9A70D1C-C069-4E1C-A928-70BC3B7CF317
Q96435819,Monika Gregorčič,,,,,female,1969-03-05,11,Q96435819-F3835850-207A-4245-964A-FD6A50A84EF5
Q99373510,Meira Hot,,,,,female,1980-02-14,11,Q99373510-31D14D64-D33C-4070-BB83-C7DE8A3DDC5B
